txn_id,value_date,narration,debit,credit,balance,bank_ref,bank
TXN00000001,26-06-2026,RTGS/ICICR52023994184/HALDIA GARMENTS PRIVATE LIMITED,,1449367.65,6449367.65,S72953355,ICICI
TXN00000002,06/06/26,UPI-HOSUR LOGISTICS PRIVATE LIMITED-HOSURLOGIS@OKAXIS-300000000002-PAYMENT FROM HLP,,508943.12,6958310.77,2799690550,HDFC
TXN00000003,12-06-2026,NEFT-ICICR52024560227-MADURAI ENTERPRISES INDIA PRIVATE LIMITED,,1025062.78,7983373.55,S33843176,ICICI
TXN00000004,27/06/26,ACH C-CALICUT FORGINGS P LTD-300000000004,,1656182.84,9639556.39,3810343449,HDFC
TXN00000005,28-08-2026,BIL/ONL/3624240653/BFP,,1056646.17,10696202.56,S99493924,ICICI
TXN00000006,19-07-2026,RTGS/ICICR52023081634/CHENNAI TRADERS INDIA PRIVATE LIMITED,,1738671.31,12434873.87,S78600822,ICICI
TXN00000007,27-06-2026,NEFT-ICICR52023994571-TRICHY PHARM,,924743.78,13359617.65,S62213686,ICICI
TXN00000008,23-06-2026,UPI/300000000008/Payment from/kanpurphar@okhdfcbank/SBIN,,1096053.40,14455671.05,S88939205,ICICI
TXN00000009,05-06-2026,MMT/IMPS/300000000009/HOSUR ENGINEERING PV/SBIN,,310649.46,14766320.51,S85027765,ICICI
TXN00000010,16/07/26,ACH C-MYSORE TEXTILES PVT LTD-4079242971,,1139940.88,15906261.39,6102379140,HDFC
TXN00000011,15/06/26,NEFT-HDFC0002341-NARMADA PRINTERS PVT LTD-300000000011,,596967.05,16503228.44,5382499774,HDFC
TXN00000012,02/06/26,NEFT CR-HDFC0000123-BHOPAL PLASTICS AND COMPANY-UTR300000000012,,1012770.90,17515999.34,7010995460,HDFC
TXN00000013,07/08/26,IMPS-300000000013-CHANDRAPUR  SPINN-UTIB,,765064.07,18281063.41,2916608873,HDFC
TXN00000014,30/06/26,NEFT CR-HDFC0002341-KRISHNA CASTINGS LLP-UTR1745512754,,904005.55,19185068.96,3333118014,HDFC
TXN00000015,07-08-2026,UPI/300000000015/Payment from/dehradunel@apl/SBIN/ ,,445134.89,19630203.85,S36338888,ICICI
TXN00000016,21/06/26,NEFT CR-HDFC0002341-BHILAI PRINTERS PVT LTD-UTR300000000016,,450095.50,20080299.35,4349203845,HDFC
TXN00000017,28-06-2026,BIL/ONL/9937675499/ACL,,16229.00,20096528.35,S96519596,ICICI
TXN00000018,15/07/26,UPI-DHANBAD FORG-DHANBADFOR@APL-300000000018-PAYMENT FROM DFL,,172484.75,20269013.10,2124954198,HDFC
TXN00000019,04-06-2026,MMT/IMPS/300000000019/PANIPAT PHARMACEUTICALS INDIA/ICIC,,202024.00,20471037.10,S70904100,ICICI
TXN00000020,16/08/26,NEFT CR-HDFC0000123-NASHIK AUTO COMPONENTS PVT LTD-UTR300000000020,,257944.00,20728981.10,5266214790,HDFC
TXN00000021,07-07-2026,UPI/8523738954/Payment from/amravatime@ibl/SBIN,,226294.99,20955276.09,S31247560,ICICI
TXN00000022,16-06-2026,RTGS/ICICR52024560358/NASHIKINDUSTRIESINDIAPRIVATELIMITED,,144721.75,21099997.84,S48014419,ICICI
TXN00000023,05-08-2026,UPI/3460637585/CMP/calicutmed@ybl,,100785.00,21200782.84,S71458161,ICICI
TXN00000024,25-06-2026,NEFT/ICICR52023081731/Bhilai Forgings,,44861.00,21245643.84,S39261584,ICICI
TXN00000025,04-08-2026,MMT/IMPS/300000000025/Gandhinagarcontainerspvtltd/ICIC,,213083.00,21458726.84,S73915137,ICICI
TXN00000026,17-07-2026,MMT/IMPS/300000000026/VARANASI COLD STOR/SBIN,,86770.25,21545497.09,S23491526,ICICI
TXN00000027,07-06-2026,BIL/ONL/300000000027/NCP,,288937.00,21834434.09,S44757606,ICICI
TXN00000028,16-07-2026,UPI/300000000028/Payment from/bhilaifabr@paytm/UTIB,,482550.00,22316984.09,S27305232,ICICI
TXN00000029,18-06-2026,UPI/300000000029/BSL/bhopalspin@ybl,,350695.99,22667680.08,S97406577,ICICI
TXN00000030,03/07/26,NEFT-HDFC0004567-BELGAUMFABRICATORSANDCOMPANY-300000000030,,263032.00,22930712.08,4557137724,HDFC
TXN00000031,28-07-2026,UPI/300000000031/NCP/narmadacab@ibl,,386331.00,23317043.08,S91711765,ICICI
TXN00000032,06/06/26,IMPS-5879868731-ANANTAPUR BEARINGS LIMITED-HDFC,,404801.99,23721845.07,8201166971,HDFC
TXN00000033,01-08-2026,NEFT-ICICR52023081819-CHENNAI CABLES PRIVATE LIMITED,,269667.00,23991512.07,S12387417,ICICI
TXN00000034,30-06-2026,RTGS/ICICR52024560384/CHANDRAPUR CHEMICALS INDIA P LTD,,278121.99,24269634.06,S94773366,ICICI
TXN00000035,21-06-2026,UPI/300000000035/Payment from/chennaicab@ibl/AXIS,,172828.25,24442462.31,S38928606,ICICI
TXN00000036,01-07-2026,NEFT/ICICR52024117160/Nagpur Auto Comp,,34753.00,24477215.31,S60970143,ICICI
TXN00000037,28/07/26,IMPS-7161371951-CUTTACK AGRO EXPORTS PRIVATE LIMITED-ICIC,,383250.00,24860465.31,4617503331,HDFC
TXN00000038,30-07-2026,NEFT-ICICR52024560134-UDAIPUR SOFTWARE SERVICES PRIVATE LIMITED,,254483.50,25114948.81,S75743498,ICICI
TXN00000039,11/07/26,NEFT CR-HDFC0000123-AMRAVATI INFRAPROJECTS AND COMPANY-UTR300000000039,,200751.50,25315700.31,8597898212,HDFC
TXN00000040,08/06/26,UPI-ANANTAPUR AUTO C-ANANTAPURA@PAYTM-300000000040,,182362.75,25498063.06,9664629170,HDFC
TXN00000041,14-08-2026,BIL/ONL/300000000041/JCP,,55882.00,25553945.06,S97017543,ICICI
TXN00000042,05-06-2026,RTGS/ICICR52023994474/JAMNAGAR ELE,,8636.50,25562581.56,S52937043,ICICI
TXN00000043,20-07-2026,BIL/ONL/300000000043/TTA,,390917.00,25953498.56,S39644541,ICICI
TXN00000044,19-06-2026,BIL/ONL/300000000044/STP,,129763.00,26083261.56,S13073496,ICICI
TXN00000045,06-06-2026,UPI/300000000045/MLP/mangalorel@paytm,,33400.00,26116661.56,S90296362,ICICI
TXN00000046,23-06-2026,UPI/1999368220/BDP/bhavnagard@okaxis,,424214.25,26540875.81,S47766579,ICICI
TXN00000047,29/06/26,NEFT-HDFC0002341-JODHPUR INDU-300000000047,,20619.75,26561495.56,1529712204,HDFC
TXN00000048,06/07/26,UPI-BELGAUM HOSPITALITY-BELGAUMHOS@APL-300000000048,,42403.00,26603898.56,9773371944,HDFC
TXN00000049,08/06/26,ACH C-CUTTACK CABLES PRIVATE LIMITED-300000000049,,353147.00,26957045.56,4234108234,HDFC
TXN00000050,21-08-2026,MMT/IMPS/9667447947/COIMBATORE ENGIN/SBIN,,69351.00,27026396.56,S79661778,ICICI
TXN00000051,01-08-2026,NEFT-ICICR52023081989-indore infraprojects and company,,69109.25,27095505.81,S80884678,ICICI
TXN00000052,26/07/26,UPI-BHOPAL FERTILISE-BHOPALFERT@APL-300000000052,,275434.25,27370940.06,5076978307,HDFC
TXN00000053,17/07/26,UPI-MADURAI DIAGNOSTICS-MADURAIDIA@OKAXIS-300000000053-PAYMENT FROM MDL,,410263.50,27781203.56,6399343905,HDFC
TXN00000054,30/06/26,IMPS-300000000054-UDAIPURENGINEERINGPVTLTD-KKBK,,453633.00,28234836.56,2597817529,HDFC
TXN00000055,05/08/26,UPI-CALICUT TRANSPORT AND COMPANY-CALICUTTRA@IBL-9602592762,,434916.00,28669752.56,2390851525,HDFC
TXN00000056,22/08/26,ACH C-MYSORE ELECTRICALS LLP-300000000056,,356167.00,29025919.56,8897816095,HDFC
TXN00000057,08/06/26,NEFT-HDFC0002341-TIRUPUR POLYMERS-300000000057,,447501.75,29473421.31,8665957139,HDFC
TXN00000058,04-08-2026,UPI/6028625375/CFA/calicutfab@okhdfcbank,,122657.99,29596079.30,S60167272,ICICI
