entity_id,type,payment_id,order_id,order_receipt,settlement_id,settlement_utr,amount,fee,tax,debit,credit,net_amount,currency,method,created_at,settled_at
pay_000000000001,payment,pay_000000000001,order_000000000001,INV-2026-000001,setl_000000000001,300000000001,31527800,630556,113500,0,30783744,30783744,INR,card,1782473400,1782473400
pay_000000000002,payment,pay_000000000002,order_000000000002,INV-2026-000002,setl_000000000001,300000000001,7085899,141718,25509,0,6918672,6918672,INR,netbanking,1782473400,1782473400
pay_000000000003,payment,pay_000000000003,order_000000000003,INV-2026-000003,setl_000000000001,300000000001,38322250,766445,137960,0,37417845,37417845,INR,upi,1782300600,1782473400
pay_000000000004,payment,pay_000000000004,order_000000000004,INV-2026-000004,setl_000000000001,300000000001,49297925,985959,177473,0,48134493,48134493,INR,card,1782387000,1782473400
pay_000000000005,payment,pay_000000000005,order_000000000005,INV-2026-000005,setl_000000000001,300000000001,22206075,444122,79942,0,21682011,21682011,INR,card,1782300600,1782473400
pay_000000000006,payment,pay_000000000006,order_000000000006,INV-2026-000006,setl_000000000002,300000000002,14224225,284485,51207,0,13888533,13888533,INR,wallet,1780745400,1780745400
pay_000000000007,payment,pay_000000000007,order_000000000007,INV-2026-000007,setl_000000000002,300000000002,10783100,215662,38819,0,10528619,10528619,INR,upi,1780572600,1780745400
pay_000000000008,payment,pay_000000000008,order_000000000008,INV-2026-000008,setl_000000000002,300000000002,24326625,486533,87576,0,23752516,23752516,INR,wallet,1780745400,1780745400
pay_000000000009,payment,pay_000000000009,order_000000000009,INV-2026-000009,setl_000000000002,300000000002,2790500,55810,10046,0,2724644,2724644,INR,card,1780745400,1780745400
pay_000000000010,payment,pay_000000000010,order_000000000010,INV-2026-000010,setl_000000000003,300000000003,16342825,326857,58834,0,15957134,15957134,INR,wallet,1781868600,1781868600
pay_000000000011,payment,pay_000000000011,order_000000000011,INV-2026-000011,setl_000000000003,300000000003,17385600,347712,62588,0,16975300,16975300,INR,wallet,1781695800,1781868600
pay_000000000012,payment,pay_000000000012,order_000000000012,INV-2026-000012,setl_000000000003,300000000003,10627499,212550,38259,0,10376690,10376690,INR,card,1781868600,1781868600
