txn_id,value_date,narration,debit,credit,balance,bank_ref,bank
TXN00000001,06-07-2026,UPI/300000000001/Payment from/anantapurd@ibl/AXIS,,473728.53,5473728.53,S10872248,ICICI
TXN00000002,25-07-2026,NEFT/ICICR52023994691/Mysore Paper Mills Pvt Ltd/,,762441.47,6236170.00,S48840994,ICICI
TXN00000003,30-06-2026,UPI/9896606039/Payment from/siliguripl@okhdfcbank/AXIS,,677625.26,6913795.26,S95899313,ICICI
TXN00000004,12/07/26,IMPS-300000000004-MYSORE BEARINGS LIMITED-UTIB,,992151.28,7905946.54,7805745017,HDFC
TXN00000005,29/06/26,RTGS-HDFC0009812-GWALIOR HOSPITALITY PVT LTD-2461042543,,1394144.69,9300091.23,4919706735,HDFC
TXN00000006,21/08/26,NEFT CR-HDFC0004567-SILIGURI CAB-UTR300000000006,,819071.92,10119163.15,6633778586,HDFC
TXN00000007,06/08/26,IMPS-300000000007-INDORE  FOODS PVT LTD-ICIC,,931388.69,11050551.84,2748309234,HDFC
TXN00000008,24/08/26,UPI-BHAVNAGAR TRADERS-BHAVNAGART@PAYTM-300000000008-PAYMENT FROM BTI,,461690.73,11512242.57,4965395580,HDFC
TXN00000009,10-08-2026,MMT/IMPS/3328710672/RAJKOT ENTERPRISES I/KKBK,,947424.34,12459666.91,S81286543,ICICI
TXN00000010,05/08/26,NEFT CR-HDFC0009812-AURANGABAD SPINNERS LLP-UTR300000000010,,555244.49,13014911.40,8067372072,HDFC
TXN00000011,10/06/26,IMPS-300000000011-GODAVARI COLD STORAGE AND COMPANY-HDFC,,730931.08,13745842.48,2472659626,HDFC
TXN00000012,02/08/26,UPI-JAMNAGAR SOFTWAR-JAMNAGARSO@PAYTM-300000000012,,541688.39,14287530.87,4696689457,HDFC
TXN00000013,27-08-2026,NEFT-ICICR52023081491-COIMBATORE PHARMACEUTICALS INDIA PRIVATE LIMITED,,1456117.51,15743648.38,S71780854,ICICI
TXN00000014,30/06/26,UPI-GANDHINAGAR MEDIA-GANDHINAGA@PAYTM-300000000014-PAYMENT FROM GMP,,1065735.71,16809384.09,3196545325,HDFC
TXN00000015,13-08-2026,UPI/7739255769/TBL/tirupurbea@okaxis,,976955.33,17786339.42,S91424737,ICICI
TXN00000016,27/07/26,NEFT CR-HDFC0000123-JABALPUR POLYMERS  PRIVATE LIMITED-UTR300000000016,,1021660.75,18808000.17,6944142262,HDFC
TXN00000017,19-06-2026,BIL/ONL/7648059419/DGP,,1410225.49,20218225.66,S79967676,ICICI
TXN00000018,01-07-2026,BIL/ONL/3987248494/MCP,,1161485.16,21379710.82,S66240084,ICICI
TXN00000019,29/06/26,NEFT-HDFC0002341-JALANDHAR TRANSPORT AND COMPANY-300000000019,,712428.80,22092139.62,2405969000,HDFC
TXN00000020,14/07/26,ACH C-GODAVARI PAP-300000000020,,1112706.39,23204846.01,4085320828,HDFC
TXN00000021,10/07/26,UPI-VARANASI FABRICATO-VARANASIFA@APL-300000000021,,834977.96,24039823.97,8076144396,HDFC
TXN00000022,24-07-2026,UPI/7291584955/Payment from/siliguriga@ybl/ICIC,,608325.75,24648149.72,S42730796,ICICI
TXN00000023,18/08/26,RTGS-HDFC0000123-KOLHAPUR COLD STORAG-7403028869,,1308305.20,25956454.92,6879898071,HDFC
TXN00000024,10/08/26,NEFT CR-HDFC0000123-HUBLI PLASTICS AND C-UTR7858164010,,434895.87,26391350.79,5838636972,HDFC
TXN00000025,07/06/26,ACH C-VARANASI SOFTWARE SERVICES PRIVATE LIMITED-300000000025,,611760.48,27003111.27,3112035409,HDFC
