entity_id,type,payment_id,order_id,order_receipt,settlement_id,settlement_utr,amount,fee,tax,debit,credit,net_amount,currency,method,created_at,settled_at
pay_000000000001,payment,pay_000000000001,order_000000000001,,setl_000000000001,300000000001,7200025,144001,25920,0,7030104,7030104,INR,upi,1783164600,1783337400
pay_000000000002,payment,pay_000000000002,order_000000000002,,setl_000000000001,300000000001,5000000,100000,18000,0,4882000,4882000,INR,wallet,1783337400,1783337400
pay_000000000003,payment,pay_000000000003,order_000000000003,INV-2026-000003,setl_000000000002,300000000002,7500075,150002,27000,0,7323073,7323073,INR,upi,1784287800,1784460600
pay_000000000004,payment,pay_000000000004,order_000000000004,,setl_000000000002,300000000002,5000025,100001,18000,0,4882024,4882024,INR,wallet,1784460600,1784460600
pay_000000000005,payment,pay_000000000005,order_000000000005,INV-2026-000005,setl_000000000002,300000000002,18700000,374000,67320,0,18258680,18258680,INR,netbanking,1784374200,1784460600
pay_000000000006,payment,pay_000000000006,order_000000000006,,setl_000000000002,300000000002,7500200,150004,27001,0,7323195,7323195,INR,card,1784287800,1784460600
pay_000000000007,payment,pay_000000000007,order_000000000007,,setl_000000000002,300000000002,14963400,299268,53868,0,14610264,14610264,INR,upi,1784460600,1784460600
pay_000000000008,payment,pay_000000000008,order_000000000008,,setl_000000000003,300000000003,30000000,600000,108000,0,29292000,29292000,INR,card,1786015800,1786188600
pay_000000000009,payment,pay_000000000009,order_000000000009,,setl_000000000003,300000000003,407725,8155,1468,0,398102,398102,INR,wallet,1786188600,1786188600
pay_000000000010,payment,pay_000000000010,order_000000000010,,setl_000000000003,300000000003,993900,19878,3578,0,970444,970444,INR,upi,1786102200,1786188600
pay_000000000011,payment,pay_000000000011,order_000000000011,,setl_000000000004,300000000004,3855300,77106,13879,0,3764315,3764315,INR,netbanking,1785670200,1785843000
pay_000000000012,payment,pay_000000000012,order_000000000012,INV-2026-000012,setl_000000000004,300000000004,784575,15692,2825,0,766058,766058,INR,upi,1785843000,1785843000
pay_000000000013,payment,pay_000000000013,order_000000000013,,setl_000000000004,300000000004,50000050,1000001,180000,0,48820049,48820049,INR,card,1785843000,1785843000
pay_000000000014,payment,pay_000000000014,order_000000000014,INV-2026-000014,setl_000000000004,300000000004,21700050,434001,78120,0,21187929,21187929,INR,netbanking,1785670200,1785843000
pay_000000000015,payment,pay_000000000015,order_000000000015,,setl_000000000005,300000000005,3941500,78830,14189,0,3848481,3848481,INR,wallet,1780659000,1780659000
pay_000000000016,payment,pay_000000000016,order_000000000016,INV-2026-000016,setl_000000000005,300000000005,24300050,486001,87480,0,23726569,23726569,INR,wallet,1780659000,1780659000
pay_000000000017,payment,pay_000000000017,order_000000000017,INV-2026-000017,setl_000000000005,300000000005,21100000,422000,75960,0,20602040,20602040,INR,upi,1780486200,1780659000
pay_000000000018,payment,pay_000000000018,order_000000000018,,setl_000000000006,300000000006,4159850,83197,14975,0,4061678,4061678,INR,card,1786188600,1786275000
pay_000000000019,payment,pay_000000000019,order_000000000019,INV-2026-000019,setl_000000000006,300000000006,4190200,83804,15085,0,4091311,4091311,INR,wallet,1786188600,1786275000
pay_000000000020,payment,pay_000000000020,order_000000000020,INV-2026-000020,setl_000000000007,300000000007,4550725,91015,16383,0,4443327,4443327,INR,upi,1785583800,1785583800
pay_000000000021,payment,pay_000000000021,order_000000000021,,setl_000000000007,300000000007,12094850,241897,43541,0,11809412,11809412,INR,upi,1785411000,1785583800
pay_000000000022,payment,pay_000000000022,order_000000000022,,setl_000000000008,300000000008,2000000,40000,7200,0,1952800,1952800,INR,card,1781091000,1781091000
