invoice_id,customer_name,invoice_date,due_date,amount,tds_applicable,tds_section,status
INV-2026-000001,ANANTAPUR DISTRIBUTORS PRIVATE LIMITED,2026-07-06,2026-08-05,129393.00,false,,paid
INV-2026-000002,ANANTAPUR DISTRIBUTORS PRIVATE LIMITED,2026-07-04,2026-08-03,355785.75,false,,paid
INV-2026-000003,MYSORE PAPER MILLS PVT LTD,2026-07-25,2026-08-24,179389.00,false,,paid
INV-2026-000004,MYSORE PAPER MILLS PVT LTD,2026-07-25,2026-08-24,401290.00,false,,paid
INV-2026-000005,MYSORE PAPER MILLS PVT LTD,2026-07-24,2026-08-23,200191.00,false,,paid
INV-2026-000006,SILIGURI PLASTICS AND COMPANY,2026-06-29,2026-07-29,455286.00,false,,paid
INV-2026-000007,SILIGURI PLASTICS AND COMPANY,2026-06-29,2026-07-29,238717.75,false,,paid
INV-2026-000008,MYSORE BEARINGS LIMITED,2026-07-12,2026-08-11,442897.99,false,,paid
INV-2026-000009,MYSORE BEARINGS LIMITED,2026-07-11,2026-08-10,431861.00,false,,paid
INV-2026-000010,MYSORE BEARINGS LIMITED,2026-07-12,2026-08-11,141373.00,false,,paid
INV-2026-000011,GWALIOR HOSPITALITY PVT LTD,2026-06-28,2026-07-28,73525.25,false,,paid
INV-2026-000012,GWALIOR HOSPITALITY PVT LTD,2026-06-29,2026-07-29,397247.00,false,,paid
INV-2026-000013,GWALIOR HOSPITALITY PVT LTD,2026-06-27,2026-07-27,329962.00,false,,paid
INV-2026-000014,GWALIOR HOSPITALITY PVT LTD,2026-06-28,2026-07-28,313690.00,false,,paid
INV-2026-000015,GWALIOR HOSPITALITY PVT LTD,2026-06-27,2026-07-27,313417.50,false,,paid
INV-2026-000016,SILIGURI CABLES PRIVATE LIMITED,2026-08-21,2026-09-20,267161.25,false,,paid
INV-2026-000017,SILIGURI CABLES PRIVATE LIMITED,2026-08-21,2026-09-20,197038.99,false,,paid
INV-2026-000018,SILIGURI CABLES PRIVATE LIMITED,2026-08-20,2026-09-19,315019.00,false,,paid
INV-2026-000019,SILIGURI CABLES PRIVATE LIMITED,2026-08-20,2026-09-19,59650.00,false,,paid
INV-2026-000020,INDORE FOODS PVT LTD,2026-08-06,2026-09-05,237708.00,false,,paid
INV-2026-000021,INDORE FOODS PVT LTD,2026-08-06,2026-09-05,34568.00,false,,paid
INV-2026-000022,INDORE FOODS PVT LTD,2026-08-06,2026-09-05,309512.00,false,,paid
INV-2026-000023,INDORE FOODS PVT LTD,2026-08-06,2026-09-05,372112.75,false,,paid
INV-2026-000024,BHAVNAGAR TRADERS INDIA PRIVATE LIMITED,2026-08-23,2026-09-22,226994.00,false,,paid
INV-2026-000025,BHAVNAGAR TRADERS INDIA PRIVATE LIMITED,2026-08-22,2026-09-21,245855.99,false,,paid
INV-2026-000026,RAJKOT ENTERPRISES INDIA PRIVATE LIMITED,2026-08-08,2026-09-07,52332.00,false,,paid
INV-2026-000027,RAJKOT ENTERPRISES INDIA PRIVATE LIMITED,2026-08-10,2026-09-09,49896.99,false,,paid
INV-2026-000028,RAJKOT ENTERPRISES INDIA PRIVATE LIMITED,2026-08-09,2026-09-08,214078.50,false,,paid
INV-2026-000029,RAJKOT ENTERPRISES INDIA PRIVATE LIMITED,2026-08-10,2026-09-09,454325.50,false,,paid
INV-2026-000030,RAJKOT ENTERPRISES INDIA PRIVATE LIMITED,2026-08-09,2026-09-08,199691.00,false,,paid
INV-2026-000031,AURANGABAD SPINNERS LLP,2026-08-05,2026-09-04,43001.99,false,,paid
INV-2026-000032,AURANGABAD SPINNERS LLP,2026-08-03,2026-09-02,312969.00,false,,paid
INV-2026-000033,AURANGABAD SPINNERS LLP,2026-08-03,2026-09-02,212694.00,false,,paid
INV-2026-000034,GODAVARI COLD STORAGE AND COMPANY,2026-06-08,2026-07-08,5883.50,false,,paid
INV-2026-000035,GODAVARI COLD STORAGE AND COMPANY,2026-06-10,2026-07-10,39409.25,false,,paid
INV-2026-000036,GODAVARI COLD STORAGE AND COMPANY,2026-06-10,2026-07-10,70445.00,false,,paid
INV-2026-000037,GODAVARI COLD STORAGE AND COMPANY,2026-06-10,2026-07-10,194738.00,false,,paid
INV-2026-000038,GODAVARI COLD STORAGE AND COMPANY,2026-06-08,2026-07-08,438122.25,false,,paid
INV-2026-000039,JAMNAGAR SOFTWARE SERVICES PRIVATE LIMITED,2026-08-02,2026-09-01,132659.99,false,,paid
INV-2026-000040,JAMNAGAR SOFTWARE SERVICES PRIVATE LIMITED,2026-08-01,2026-08-31,333547.50,false,,paid
INV-2026-000041,JAMNAGAR SOFTWARE SERVICES PRIVATE LIMITED,2026-08-02,2026-09-01,2858.00,false,,paid
INV-2026-000042,JAMNAGAR SOFTWARE SERVICES PRIVATE LIMITED,2026-08-01,2026-08-31,85715.75,false,,paid
INV-2026-000043,COIMBATORE PHARMACEUTICALS INDIA PRIVATE LIMITED,2026-08-27,2026-09-26,131825.75,false,,paid
INV-2026-000044,COIMBATORE PHARMACEUTICALS INDIA PRIVATE LIMITED,2026-08-26,2026-09-25,410005.25,false,,paid
INV-2026-000045,COIMBATORE PHARMACEUTICALS INDIA PRIVATE LIMITED,2026-08-27,2026-09-26,486366.00,false,,paid
INV-2026-000046,COIMBATORE PHARMACEUTICALS INDIA PRIVATE LIMITED,2026-08-27,2026-09-26,463115.50,false,,paid
INV-2026-000047,GANDHINAGAR MEDIA PVT LTD,2026-06-28,2026-07-28,117876.00,false,,paid
INV-2026-000048,GANDHINAGAR MEDIA PVT LTD,2026-06-29,2026-07-29,209910.00,false,,paid
INV-2026-000049,GANDHINAGAR MEDIA PVT LTD,2026-06-29,2026-07-29,406445.00,false,,paid
